id,jurisdiction_code,jurisdiction_name,region,urbanisation_index,service_category,service_category_full,regulated_scope,can_medication_administer,can_transfer_assist,can_bathing_toileting,can_wound_care_basic,can_catheter_ostomy,can_housekeeping,can_meal_prep,regulating_body,training_hours_min,certification_required,private_pay_rate_cad_low,private_pay_rate_cad_median,private_pay_rate_cad_high,agency_markup_typical,subsidized_program_name,subsidized_program_source_id,subsidized_program_url,subsidized_eligibility,subsidy_max_hours_per_week,subsidy_waitlist_typical_days,employer_obligations_private_hire,source_ids,source_retrieved_date,notes
1,ON,Ontario,Central,high,PSW,Personal Support Worker,"Assists with activities of daily living including bathing, toileting, dressing, feeding, ambulation, and transfers. May provide medication reminders but not administer controlled substances without delegation. Scope excludes wound care beyond basic dressing changes and clinical nursing procedures.",False,True,True,False,False,True,True,Ontario PSW Registry (voluntary); NACC curriculum standard,600,Voluntary,28.0,35.0,42.0,1.38,Home and Community Care Support Services (HCCSS),hccss-ontario,https://www.ontario.ca/page/homecare-seniors,Referral via HCCSS; needs-based; prioritises post-hospital,14,45,"CRA employer registration above threshold; CPP, EI, provincial WSIB/WorkSafe, T4",statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;hccss-ontario,2026-04-09,
2,ON,Ontario,Central,high,LPN_RPN,Licensed Practical Nurse / Registered Practical Nurse,"Regulated nursing professional. Administers medications, performs wound care, manages catheters and ostomies, monitors vital signs. Scope varies by provincial regulating college. In Ontario the title is Registered Practical Nurse (RPN).",True,True,True,True,True,False,False,College of Nurses of Ontario (CNO),3500,Mandatory,38.0,50.0,62.0,1.38,Home and Community Care Support Services (HCCSS),hccss-ontario,https://www.ontario.ca/page/homecare-seniors,Referral via HCCSS; needs-based; prioritises post-hospital,14,45,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;hccss-ontario,2026-04-09,
3,ON,Ontario,Central,high,RN,Registered Nurse,"Regulated nursing professional with independent clinical judgement. Full medication administration including IV, complex wound care, chronic disease management, care plan authorship.",True,True,True,True,True,False,False,College of Nurses of Ontario (CNO),5400,Mandatory,54.0,74.5,95.0,1.38,Home and Community Care Support Services (HCCSS),hccss-ontario,https://www.ontario.ca/page/homecare-seniors,Referral via HCCSS; needs-based; prioritises post-hospital,14,45,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;hccss-ontario,2026-04-09,
4,ON,Ontario,Central,high,Companion,Companion / Sitter,"Provides social support, supervision, light errands, and transportation. Not authorised for personal care tasks such as bathing, toileting, or medication handling. Not a regulated occupation.",False,False,False,False,False,False,True,Unregulated,0,None,22.0,28.0,34.0,1.38,,,,,0.0,0,Often contractor; consult CRA employee-vs-contractor factors,statcan-14-10-0417-01;statcan-18-10-0004-01;hccss-ontario,2026-04-09,
5,ON,Ontario,Central,high,Housekeeper_Private,Housekeeper (private hire),"Performs cleaning, laundry, and basic meal preparation. Not authorised for any personal care task. Private-hire arrangements engage CRA employer obligations above statutory thresholds (CPP, EI, provincial WSIB, T4).",False,False,False,False,False,True,True,Unregulated,0,None,22.0,29.0,36.0,1.38,,,,,0.0,0,CRA employer determination likely; WSIB coverage assessment advised,statcan-14-10-0417-01;statcan-18-10-0004-01;hccss-ontario,2026-04-09,
6,ON,Ontario,Central,high,Cleaning_Service_Agency,Cleaning service (agency),"Agency-provided housekeeping with employer of record handling CPP, EI, WSIB, liability insurance, and staff supervision. Scope strictly limited to cleaning, laundry, and basic meal preparation. Not authorised for any personal care.",False,False,False,False,False,True,True,Unregulated occupation; agencies register with provincial employer-of-record authorities,0,None,38.0,51.5,65.0,1.38,,,,,0.0,0,None — agency is employer of record,statcan-14-10-0417-01;statcan-18-10-0004-01;hccss-ontario,2026-04-09,
7,QC,Quebec,Central,high,PSW,Personal Support Worker,"Assists with activities of daily living including bathing, toileting, dressing, feeding, ambulation, and transfers. May provide medication reminders but not administer controlled substances without delegation. Scope excludes wound care beyond basic dressing changes and clinical nursing procedures.",False,True,True,False,False,True,True,Ordre professionnel — Préposé aux bénéficiaires (DEP),870,Mandatory,25.76,32.2,38.64,1.3,Soutien à domicile — CLSC,quebec-clsc-sad,https://www.quebec.ca/en/health/health-system-and-services/home-support/home-care-services,Universal access through CLSC; user contribution may apply,20,60,"CRA employer registration above threshold; CPP, EI, provincial WSIB/WorkSafe, T4",statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;quebec-clsc-sad,2026-04-09,
8,QC,Quebec,Central,high,LPN_RPN,Licensed Practical Nurse / Registered Practical Nurse,"Regulated nursing professional. Administers medications, performs wound care, manages catheters and ostomies, monitors vital signs. Scope varies by provincial regulating college. In Ontario the title is Registered Practical Nurse (RPN).",True,True,True,True,True,False,False,Ordre des infirmières et infirmiers auxiliaires du Québec (OIIAQ),3500,Mandatory,34.96,46.0,57.04,1.3,Soutien à domicile — CLSC,quebec-clsc-sad,https://www.quebec.ca/en/health/health-system-and-services/home-support/home-care-services,Universal access through CLSC; user contribution may apply,20,60,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;quebec-clsc-sad,2026-04-09,
9,QC,Quebec,Central,high,RN,Registered Nurse,"Regulated nursing professional with independent clinical judgement. Full medication administration including IV, complex wound care, chronic disease management, care plan authorship.",True,True,True,True,True,False,False,Ordre des infirmières et infirmiers du Québec (OIIQ),5400,Mandatory,49.68,68.54,87.4,1.3,Soutien à domicile — CLSC,quebec-clsc-sad,https://www.quebec.ca/en/health/health-system-and-services/home-support/home-care-services,Universal access through CLSC; user contribution may apply,20,60,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;quebec-clsc-sad,2026-04-09,
10,QC,Quebec,Central,high,Companion,Companion / Sitter,"Provides social support, supervision, light errands, and transportation. Not authorised for personal care tasks such as bathing, toileting, or medication handling. Not a regulated occupation.",False,False,False,False,False,False,True,Unregulated,0,None,20.24,25.76,31.28,1.3,,,,,0.0,0,Often contractor; consult CRA employee-vs-contractor factors,statcan-14-10-0417-01;statcan-18-10-0004-01;quebec-clsc-sad,2026-04-09,
11,QC,Quebec,Central,high,Housekeeper_Private,Housekeeper (private hire),"Performs cleaning, laundry, and basic meal preparation. Not authorised for any personal care task. Private-hire arrangements engage CRA employer obligations above statutory thresholds (CPP, EI, provincial WSIB, T4).",False,False,False,False,False,True,True,Unregulated,0,None,20.24,26.68,33.12,1.3,,,,,0.0,0,CRA employer determination likely; WSIB coverage assessment advised,statcan-14-10-0417-01;statcan-18-10-0004-01;quebec-clsc-sad,2026-04-09,
12,QC,Quebec,Central,high,Cleaning_Service_Agency,Cleaning service (agency),"Agency-provided housekeeping with employer of record handling CPP, EI, WSIB, liability insurance, and staff supervision. Scope strictly limited to cleaning, laundry, and basic meal preparation. Not authorised for any personal care.",False,False,False,False,False,True,True,Unregulated occupation; agencies register with provincial employer-of-record authorities,0,None,34.96,47.38,59.8,1.3,,,,,0.0,0,None — agency is employer of record,statcan-14-10-0417-01;statcan-18-10-0004-01;quebec-clsc-sad,2026-04-09,
13,BC,British Columbia,West,high,HCA,Health Care Aide,"Equivalent to PSW in scope; Alberta, Saskatchewan, and Manitoba title. Mandatory provincial registry in Alberta and British Columbia.",False,True,True,False,False,True,True,BC Care Aide and Community Health Worker Registry (mandatory),700,Mandatory,30.24,37.8,45.36,1.42,Home and Community Care (Health Authorities),gov-bc-home-community-care,https://www2.gov.bc.ca/gov/content/health/accessing-health-care/home-community-care,Needs assessment; client contribution based on income,16,30,"CRA employer registration above threshold; CPP, EI, provincial WSIB/WorkSafe, T4",statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;gov-bc-home-community-care,2026-04-09,
14,BC,British Columbia,West,high,LPN_RPN,Licensed Practical Nurse / Registered Practical Nurse,"Regulated nursing professional. Administers medications, performs wound care, manages catheters and ostomies, monitors vital signs. Scope varies by provincial regulating college. In Ontario the title is Registered Practical Nurse (RPN).",True,True,True,True,True,False,False,BC College of Nurses and Midwives (BCCNM),3500,Mandatory,41.04,54.0,66.96,1.42,Home and Community Care (Health Authorities),gov-bc-home-community-care,https://www2.gov.bc.ca/gov/content/health/accessing-health-care/home-community-care,Needs assessment; client contribution based on income,16,30,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;gov-bc-home-community-care,2026-04-09,
15,BC,British Columbia,West,high,RN,Registered Nurse,"Regulated nursing professional with independent clinical judgement. Full medication administration including IV, complex wound care, chronic disease management, care plan authorship.",True,True,True,True,True,False,False,BC College of Nurses and Midwives (BCCNM),5400,Mandatory,58.32,80.46,102.6,1.42,Home and Community Care (Health Authorities),gov-bc-home-community-care,https://www2.gov.bc.ca/gov/content/health/accessing-health-care/home-community-care,Needs assessment; client contribution based on income,16,30,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;gov-bc-home-community-care,2026-04-09,
16,BC,British Columbia,West,high,Companion,Companion / Sitter,"Provides social support, supervision, light errands, and transportation. Not authorised for personal care tasks such as bathing, toileting, or medication handling. Not a regulated occupation.",False,False,False,False,False,False,True,Unregulated,0,None,23.76,30.24,36.72,1.42,,,,,0.0,0,Often contractor; consult CRA employee-vs-contractor factors,statcan-14-10-0417-01;statcan-18-10-0004-01;gov-bc-home-community-care,2026-04-09,
17,BC,British Columbia,West,high,Housekeeper_Private,Housekeeper (private hire),"Performs cleaning, laundry, and basic meal preparation. Not authorised for any personal care task. Private-hire arrangements engage CRA employer obligations above statutory thresholds (CPP, EI, provincial WSIB, T4).",False,False,False,False,False,True,True,Unregulated,0,None,23.76,31.32,38.88,1.42,,,,,0.0,0,CRA employer determination likely; WSIB coverage assessment advised,statcan-14-10-0417-01;statcan-18-10-0004-01;gov-bc-home-community-care,2026-04-09,
18,BC,British Columbia,West,high,Cleaning_Service_Agency,Cleaning service (agency),"Agency-provided housekeeping with employer of record handling CPP, EI, WSIB, liability insurance, and staff supervision. Scope strictly limited to cleaning, laundry, and basic meal preparation. Not authorised for any personal care.",False,False,False,False,False,True,True,Unregulated occupation; agencies register with provincial employer-of-record authorities,0,None,41.04,55.62,70.2,1.42,,,,,0.0,0,None — agency is employer of record,statcan-14-10-0417-01;statcan-18-10-0004-01;gov-bc-home-community-care,2026-04-09,
19,AB,Alberta,West,high,HCA,Health Care Aide,"Equivalent to PSW in scope; Alberta, Saskatchewan, and Manitoba title. Mandatory provincial registry in Alberta and British Columbia.",False,True,True,False,False,True,True,"Alberta Health Care Aide Directory (mandatory, AHS-operated)",780,Mandatory,29.4,36.75,44.1,1.4,Continuing Care at Home,ahs-continuing-care-at-home,https://www.albertahealthservices.ca/cc/page15517.aspx,AHS case manager assessment; bundled services,12,40,"CRA employer registration above threshold; CPP, EI, provincial WSIB/WorkSafe, T4",statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;ahs-continuing-care-at-home,2026-04-09,
20,AB,Alberta,West,high,LPN_RPN,Licensed Practical Nurse / Registered Practical Nurse,"Regulated nursing professional. Administers medications, performs wound care, manages catheters and ostomies, monitors vital signs. Scope varies by provincial regulating college. In Ontario the title is Registered Practical Nurse (RPN).",True,True,True,True,True,False,False,College of Licensed Practical Nurses of Alberta (CLPNA),3500,Mandatory,39.9,52.5,65.1,1.4,Continuing Care at Home,ahs-continuing-care-at-home,https://www.albertahealthservices.ca/cc/page15517.aspx,AHS case manager assessment; bundled services,12,40,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;ahs-continuing-care-at-home,2026-04-09,
21,AB,Alberta,West,high,RN,Registered Nurse,"Regulated nursing professional with independent clinical judgement. Full medication administration including IV, complex wound care, chronic disease management, care plan authorship.",True,True,True,True,True,False,False,College of Registered Nurses of Alberta (CRNA),5400,Mandatory,56.7,78.22,99.75,1.4,Continuing Care at Home,ahs-continuing-care-at-home,https://www.albertahealthservices.ca/cc/page15517.aspx,AHS case manager assessment; bundled services,12,40,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;ahs-continuing-care-at-home,2026-04-09,
22,AB,Alberta,West,high,Companion,Companion / Sitter,"Provides social support, supervision, light errands, and transportation. Not authorised for personal care tasks such as bathing, toileting, or medication handling. Not a regulated occupation.",False,False,False,False,False,False,True,Unregulated,0,None,23.1,29.4,35.7,1.4,,,,,0.0,0,Often contractor; consult CRA employee-vs-contractor factors,statcan-14-10-0417-01;statcan-18-10-0004-01;ahs-continuing-care-at-home,2026-04-09,
23,AB,Alberta,West,high,Housekeeper_Private,Housekeeper (private hire),"Performs cleaning, laundry, and basic meal preparation. Not authorised for any personal care task. Private-hire arrangements engage CRA employer obligations above statutory thresholds (CPP, EI, provincial WSIB, T4).",False,False,False,False,False,True,True,Unregulated,0,None,23.1,30.45,37.8,1.4,,,,,0.0,0,CRA employer determination likely; WSIB coverage assessment advised,statcan-14-10-0417-01;statcan-18-10-0004-01;ahs-continuing-care-at-home,2026-04-09,
24,AB,Alberta,West,high,Cleaning_Service_Agency,Cleaning service (agency),"Agency-provided housekeeping with employer of record handling CPP, EI, WSIB, liability insurance, and staff supervision. Scope strictly limited to cleaning, laundry, and basic meal preparation. Not authorised for any personal care.",False,False,False,False,False,True,True,Unregulated occupation; agencies register with provincial employer-of-record authorities,0,None,39.9,54.08,68.25,1.4,,,,,0.0,0,None — agency is employer of record,statcan-14-10-0417-01;statcan-18-10-0004-01;ahs-continuing-care-at-home,2026-04-09,
25,SK,Saskatchewan,Prairie,medium,HCA,Health Care Aide,"Equivalent to PSW in scope; Alberta, Saskatchewan, and Manitoba title. Mandatory provincial registry in Alberta and British Columbia.",False,True,True,False,False,True,True,Saskatchewan Continuing Care Assistant Program (program-based),650,Voluntary,25.76,32.2,38.64,1.35,Saskatchewan Home Care,sha-home-care,https://www.saskhealthauthority.ca/our-services/services-directory/home-care,Regional Health Authority home care; income-based fees,10,35,"CRA employer registration above threshold; CPP, EI, provincial WSIB/WorkSafe, T4",statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;sha-home-care,2026-04-09,
26,SK,Saskatchewan,Prairie,medium,LPN_RPN,Licensed Practical Nurse / Registered Practical Nurse,"Regulated nursing professional. Administers medications, performs wound care, manages catheters and ostomies, monitors vital signs. Scope varies by provincial regulating college. In Ontario the title is Registered Practical Nurse (RPN).",True,True,True,True,True,False,False,Saskatchewan Association of Licensed Practical Nurses (SALPN),3500,Mandatory,34.96,46.0,57.04,1.35,Saskatchewan Home Care,sha-home-care,https://www.saskhealthauthority.ca/our-services/services-directory/home-care,Regional Health Authority home care; income-based fees,10,35,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;sha-home-care,2026-04-09,
27,SK,Saskatchewan,Prairie,medium,RN,Registered Nurse,"Regulated nursing professional with independent clinical judgement. Full medication administration including IV, complex wound care, chronic disease management, care plan authorship.",True,True,True,True,True,False,False,College of Registered Nurses of Saskatchewan (CRNS),5400,Mandatory,49.68,68.54,87.4,1.35,Saskatchewan Home Care,sha-home-care,https://www.saskhealthauthority.ca/our-services/services-directory/home-care,Regional Health Authority home care; income-based fees,10,35,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;sha-home-care,2026-04-09,
28,SK,Saskatchewan,Prairie,medium,Companion,Companion / Sitter,"Provides social support, supervision, light errands, and transportation. Not authorised for personal care tasks such as bathing, toileting, or medication handling. Not a regulated occupation.",False,False,False,False,False,False,True,Unregulated,0,None,20.24,25.76,31.28,1.35,,,,,0.0,0,Often contractor; consult CRA employee-vs-contractor factors,statcan-14-10-0417-01;statcan-18-10-0004-01;sha-home-care,2026-04-09,
29,SK,Saskatchewan,Prairie,medium,Housekeeper_Private,Housekeeper (private hire),"Performs cleaning, laundry, and basic meal preparation. Not authorised for any personal care task. Private-hire arrangements engage CRA employer obligations above statutory thresholds (CPP, EI, provincial WSIB, T4).",False,False,False,False,False,True,True,Unregulated,0,None,20.24,26.68,33.12,1.35,,,,,0.0,0,CRA employer determination likely; WSIB coverage assessment advised,statcan-14-10-0417-01;statcan-18-10-0004-01;sha-home-care,2026-04-09,
30,SK,Saskatchewan,Prairie,medium,Cleaning_Service_Agency,Cleaning service (agency),"Agency-provided housekeeping with employer of record handling CPP, EI, WSIB, liability insurance, and staff supervision. Scope strictly limited to cleaning, laundry, and basic meal preparation. Not authorised for any personal care.",False,False,False,False,False,True,True,Unregulated occupation; agencies register with provincial employer-of-record authorities,0,None,34.96,47.38,59.8,1.35,,,,,0.0,0,None — agency is employer of record,statcan-14-10-0417-01;statcan-18-10-0004-01;sha-home-care,2026-04-09,
31,MB,Manitoba,Prairie,medium,HCA,Health Care Aide,"Equivalent to PSW in scope; Alberta, Saskatchewan, and Manitoba title. Mandatory provincial registry in Alberta and British Columbia.",False,True,True,False,False,True,True,Manitoba Health Care Aide Program (program-based),650,Voluntary,25.2,31.5,37.8,1.32,Manitoba Home Care Program,gov-mb-home-care,https://www.gov.mb.ca/health/homecare,Universal access; no user fee,12,30,"CRA employer registration above threshold; CPP, EI, provincial WSIB/WorkSafe, T4",statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;gov-mb-home-care,2026-04-09,
32,MB,Manitoba,Prairie,medium,LPN_RPN,Licensed Practical Nurse / Registered Practical Nurse,"Regulated nursing professional. Administers medications, performs wound care, manages catheters and ostomies, monitors vital signs. Scope varies by provincial regulating college. In Ontario the title is Registered Practical Nurse (RPN).",True,True,True,True,True,False,False,College of Licensed Practical Nurses of Manitoba (CLPNM),3500,Mandatory,34.2,45.0,55.8,1.32,Manitoba Home Care Program,gov-mb-home-care,https://www.gov.mb.ca/health/homecare,Universal access; no user fee,12,30,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;gov-mb-home-care,2026-04-09,
33,MB,Manitoba,Prairie,medium,RN,Registered Nurse,"Regulated nursing professional with independent clinical judgement. Full medication administration including IV, complex wound care, chronic disease management, care plan authorship.",True,True,True,True,True,False,False,College of Registered Nurses of Manitoba (CRNM),5400,Mandatory,48.6,67.05,85.5,1.32,Manitoba Home Care Program,gov-mb-home-care,https://www.gov.mb.ca/health/homecare,Universal access; no user fee,12,30,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;gov-mb-home-care,2026-04-09,
34,MB,Manitoba,Prairie,medium,Companion,Companion / Sitter,"Provides social support, supervision, light errands, and transportation. Not authorised for personal care tasks such as bathing, toileting, or medication handling. Not a regulated occupation.",False,False,False,False,False,False,True,Unregulated,0,None,19.8,25.2,30.6,1.32,,,,,0.0,0,Often contractor; consult CRA employee-vs-contractor factors,statcan-14-10-0417-01;statcan-18-10-0004-01;gov-mb-home-care,2026-04-09,
35,MB,Manitoba,Prairie,medium,Housekeeper_Private,Housekeeper (private hire),"Performs cleaning, laundry, and basic meal preparation. Not authorised for any personal care task. Private-hire arrangements engage CRA employer obligations above statutory thresholds (CPP, EI, provincial WSIB, T4).",False,False,False,False,False,True,True,Unregulated,0,None,19.8,26.1,32.4,1.32,,,,,0.0,0,CRA employer determination likely; WSIB coverage assessment advised,statcan-14-10-0417-01;statcan-18-10-0004-01;gov-mb-home-care,2026-04-09,
36,MB,Manitoba,Prairie,medium,Cleaning_Service_Agency,Cleaning service (agency),"Agency-provided housekeeping with employer of record handling CPP, EI, WSIB, liability insurance, and staff supervision. Scope strictly limited to cleaning, laundry, and basic meal preparation. Not authorised for any personal care.",False,False,False,False,False,True,True,Unregulated occupation; agencies register with provincial employer-of-record authorities,0,None,34.2,46.35,58.5,1.32,,,,,0.0,0,None — agency is employer of record,statcan-14-10-0417-01;statcan-18-10-0004-01;gov-mb-home-care,2026-04-09,
37,NS,Nova Scotia,Atlantic,medium,HSW,Home Support Worker,Provides personal support and household assistance under home care program policies. Used in Atlantic provinces and some Northern territories.,False,True,True,False,False,True,True,NS Continuing Care Assistant Program,380,Program-based,22.88,29.04,35.2,1.3,Nova Scotia Continuing Care Home Care,nshealth-home-care,https://novascotia.ca/dhw/ccs/home-care.asp,Single point of entry; needs assessment; client contribution,10,40,"CRA employer registration above threshold; CPP, EI, provincial WSIB/WorkSafe, T4",statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;nshealth-home-care,2026-04-09,
38,NS,Nova Scotia,Atlantic,medium,LPN_RPN,Licensed Practical Nurse / Registered Practical Nurse,"Regulated nursing professional. Administers medications, performs wound care, manages catheters and ostomies, monitors vital signs. Scope varies by provincial regulating college. In Ontario the title is Registered Practical Nurse (RPN).",True,True,True,True,True,False,False,Nova Scotia College of Nursing (NSCN),3500,Mandatory,33.44,44.0,54.56,1.3,Nova Scotia Continuing Care Home Care,nshealth-home-care,https://novascotia.ca/dhw/ccs/home-care.asp,Single point of entry; needs assessment; client contribution,10,40,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;nshealth-home-care,2026-04-09,
39,NS,Nova Scotia,Atlantic,medium,RN,Registered Nurse,"Regulated nursing professional with independent clinical judgement. Full medication administration including IV, complex wound care, chronic disease management, care plan authorship.",True,True,True,True,True,False,False,Nova Scotia College of Nursing (NSCN),5400,Mandatory,47.52,65.56,83.6,1.3,Nova Scotia Continuing Care Home Care,nshealth-home-care,https://novascotia.ca/dhw/ccs/home-care.asp,Single point of entry; needs assessment; client contribution,10,40,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;nshealth-home-care,2026-04-09,
